"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","sys_recver","sys_deleted","sys_lock","uf_cve","uf_nombre","uf_descripcion"
"60","2016-01-01 12:00:00","9fbc6fc5e4954bed8767fcf1d53205a2","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"618","UNICA","Unica Casa de Cambio, S.A. de C.V."
"61","2016-01-01 12:00:00","6d2c10879fc9491285a4d43b5c097f38","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"619","MAPFRE","MAPFRE Tepeyac, S.A."
"62","2016-01-01 12:00:00","7ffae259032c4a51b9a8e9089ace9e05","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"620","PROFUTURO","Profuturo G.N.P., S.A. de C.V., Afore"
"63","2016-01-01 12:00:00","d3f5576cddab49129a8537c3dee5b9ba","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"621","CB ACTINVER","Actinver Casa de Bolsa, S.A. de C.V."
"64","2016-01-01 12:00:00","3d07178825eb427988cc7102640598dc","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"622","OACTIN","OPERADORA ACTINVER, S.A. DE C.V."
"65","2016-01-01 12:00:00","ae27b5f03db64e709e6fab182492b0f6","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"623","SKANDIA","Skandia Vida, S.A. de C.V."
"66","2016-01-01 12:00:00","a63cf00c16a54c8ea90ebb0097305bb3","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"626","CBDEUTSCHE","Deutsche Securities, S.A. de C.V. CASA DE BOLSA"
"67","2016-01-01 12:00:00","f7cc15bc7f414de986259a076a9b6795","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"627","ZURICH","Zurich Compañía de Seguros, S.A."
"68","2016-01-01 12:00:00","a29af98563a246f192257ffcf8d088ae","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"628","ZURICHVI","Zurich Vida, Compañía de Seguros, S.A."
"69","2016-01-01 12:00:00","a29fdd1f17274f2fb0cc61f0458eb211","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"629","SU CASITA","Hipotecaria Su Casita, S.A. de C.V. SOFOM ENR"
"70","2016-01-01 12:00:00","158759a0cd4f4ba08f730ece63f6f7ab","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"630","CB INTERCAM","Intercam Casa de Bolsa, S.A. de C.V."
"71","2016-01-01 12:00:00","6e173e0a7a734e289fa23f92cb60e41a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"631","CI BOLSA","CI Casa de Bolsa, S.A. de C.V."
"72","2016-01-01 12:00:00","202a446612984eed8c6634b3872ae758","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"632","BULLTICK CB","Bulltick Casa de Bolsa, S.A., de C.V."
